Ngày,Mã tỉnh,Tên tỉnh,Mã phường,Tên phường,Số ca chuyển tuyến,Số ca vượt tuyến,Lượt điều trị,Lượt tái khám,Lượt KCB BHYT,Số ca mắc mới
01/06/2025,75,Đồng Nai,26362,Xã Sông Ray,1.0,0.0,12.0,0.0,12.0,12.0
01/06/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,2.0,0.0,184.0,0.0,184.0,184.0
01/06/2025,75,Đồng Nai,26374,Phường Tam Phước,0.0,0.0,61.0,0.0,61.0,61.0
01/06/2025,75,Đồng Nai,26377,Phường Phước Tân,0.0,0.0,3.0,0.0,3.0,3.0
01/06/2025,75,Đồng Nai,26416,Xã Phước Bình,0.0,0.0,4.0,0.0,4.0,4.0
01/06/2025,75,Đồng Nai,26440,Xã Xuân Trường,0.0,0.0,27.0,0.0,27.0,27.0
01/06/2025,75,Đồng Nai,26452,Xã Suối Cát,0.0,0.0,32.0,75.0,32.0,32.0
01/06/2025,75,Đồng Nai,26455,Xã Xuân Hiệp,0.0,0.0,271.0,0.0,271.0,271.0
01/06/2025,75,Đồng Nai,26497,Xã Vĩnh Thanh,2.0,0.0,83.0,0.0,83.0,83.0
01/07/2024,75,Đồng Nai,26035,Phường Tam Hòa,0.0,0.0,14.0,0.0,14.0,14.0
01/07/2025,75,Đồng Nai,25993,Phường Trảng Dài,1.0,0.0,36.0,0.0,36.0,0.0
01/07/2025,75,Đồng Nai,25996,Phường Tân Phong,0.0,0.0,110.0,0.0,110.0,0.0
01/07/2025,75,Đồng Nai,26002,Phường Hố Nai,4.0,0.0,48.0,0.0,48.0,0.0
01/07/2025,75,Đồng Nai,26008,Phường Tân Hiệp,0.0,0.0,1.0,0.0,1.0,0.0
01/07/2025,75,Đồng Nai,26017,Phường Tam Hiệp,0.0,0.0,100.0,0.0,100.0,0.0
01/07/2025,75,Đồng Nai,26029,Phường Thống Nhất,0.0,0.0,435.0,3.0,435.0,0.0
01/07/2025,75,Đồng Nai,26035,Phường Tam Hòa,0.0,0.0,3.0,0.0,3.0,0.0
01/07/2025,75,Đồng Nai,26050,Phường An Bình,0.0,0.0,40.0,0.0,40.0,0.0
01/07/2025,75,Đồng Nai,26056,Phường Long Bình Tân,0.0,0.0,125.0,0.0,125.0,0.0
01/07/2025,75,Đồng Nai,26068,Phường Hóa An,0.0,0.0,216.0,0.0,189.0,0.0
01/07/2025,75,Đồng Nai,26095,Phường Suối Tre,0.0,0.0,1276.0,0.0,1276.0,0.0
01/07/2025,75,Đồng Nai,26116,Thị Trấn Tân Phú,0.0,0.0,346.0,0.0,346.0,0.0
01/07/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,0.0,0.0,150.0,0.0,150.0,0.0
01/07/2025,75,Đồng Nai,26272,Xã Hố Nai 3,11.0,0.0,1124.0,0.0,1124.0,0.0
01/07/2025,75,Đồng Nai,26275,Xã Tây Hoà,0.0,0.0,1.0,0.0,1.0,0.0
01/07/2025,75,Đồng Nai,26296,Xã An Viễn,0.0,0.0,131.0,0.0,131.0,0.0
01/07/2025,75,Đồng Nai,26299,Xã Gia Tân 1,2.0,0.0,102.0,0.0,102.0,0.0
01/07/2025,75,Đồng Nai,26311,Xã Quang Trung,0.0,0.0,132.0,0.0,132.0,0.0
01/07/2025,75,Đồng Nai,26317,Xã Hưng Lộc,0.0,0.0,97.0,0.0,97.0,0.0
01/07/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,0.0,0.0,20.0,0.0,20.0,0.0
01/07/2025,75,Đồng Nai,26362,Xã Sông Ray,9.0,0.0,207.0,0.0,207.0,0.0
01/07/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,4.0,0.0,673.0,0.0,673.0,0.0
01/07/2025,75,Đồng Nai,26374,Phường Tam Phước,0.0,0.0,28.0,0.0,28.0,0.0
01/07/2025,75,Đồng Nai,26377,Phường Phước Tân,0.0,0.0,24.0,0.0,24.0,0.0
01/07/2025,75,Đồng Nai,26416,Xã Phước Bình,0.0,0.0,10.0,0.0,10.0,0.0
01/07/2025,75,Đồng Nai,26452,Xã Suối Cát,0.0,0.0,597.0,50.0,597.0,0.0
01/07/2025,75,Đồng Nai,26455,Xã Xuân Hiệp,0.0,0.0,354.0,0.0,353.0,0.0
01/07/2025,75,Đồng Nai,26497,Xã Vĩnh Thanh,0.0,0.0,79.0,0.0,79.0,0.0
