Ngày,Mã tỉnh,Tên tỉnh,Mã phường,Tên phường,Lượt khám chữa bệnh
01/08/2025,75,Đồng Nai,25996,Phường Tân Phong,309
01/08/2025,75,Đồng Nai,26017,Phường Tam Hiệp,77
01/08/2025,75,Đồng Nai,26029,Phường Thống Nhất,99
01/08/2025,75,Đồng Nai,26050,Phường An Bình,96
01/08/2025,75,Đồng Nai,26056,Phường Long Bình Tân,943
01/08/2025,75,Đồng Nai,26068,Phường Hóa An,341
01/08/2025,75,Đồng Nai,26095,Phường Suối Tre,230
01/08/2025,75,Đồng Nai,26188,Xã Thạnh Phú,221
01/08/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,712
01/08/2025,75,Đồng Nai,26272,Xã Hố Nai 3,664
01/08/2025,75,Đồng Nai,26296,Xã An Viễn,91
01/08/2025,75,Đồng Nai,26311,Xã Quang Trung,151
01/08/2025,75,Đồng Nai,26317,Xã Hưng Lộc,31
01/08/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,498
01/08/2025,75,Đồng Nai,26362,Xã Sông Ray,180
01/08/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,481
01/08/2025,75,Đồng Nai,26416,Xã Phước Bình,111
01/08/2025,75,Đồng Nai,26455,Xã Xuân Hiệp,336
01/09/2025,75,Đồng Nai,25996,Phường Tân Phong,135
01/09/2025,75,Đồng Nai,26029,Phường Thống Nhất,7
01/09/2025,75,Đồng Nai,26050,Phường An Bình,20
01/09/2025,75,Đồng Nai,26056,Phường Long Bình Tân,67
01/09/2025,75,Đồng Nai,26095,Phường Suối Tre,211
01/09/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,68
01/09/2025,75,Đồng Nai,26272,Xã Hố Nai 3,136
01/09/2025,75,Đồng Nai,26311,Xã Quang Trung,106
01/09/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,42
01/09/2025,75,Đồng Nai,26362,Xã Sông Ray,73
01/09/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,183
01/09/2025,75,Đồng Nai,26389,Xã Long Đức,18
01/09/2025,75,Đồng Nai,26497,Xã Vĩnh Thanh,51
01/10/2024,75,Đồng Nai,26248,Thị Trấn Trảng Bom,2
02/01/2025,75,Đồng Nai,26026,Phường Tân Mai,1
02/01/2025,75,Đồng Nai,26080,Phường Xuân An,1
02/01/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,735
02/01/2025,75,Đồng Nai,26452,Xã Suối Cát,830
02/02/2022,75,Đồng Nai,26248,Thị Trấn Trảng Bom,1
02/02/2025,75,Đồng Nai,26026,Phường Tân Mai,87
02/02/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,64
02/02/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,34
02/02/2025,75,Đồng Nai,26452,Xã Suối Cát,70
02/03/2025,75,Đồng Nai,26026,Phường Tân Mai,148
02/03/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,200
02/03/2025,75,Đồng Nai,26377,Phường Phước Tân,1
02/03/2025,75,Đồng Nai,26452,Xã Suối Cát,47
02/04/2025,75,Đồng Nai,25993,Phường Trảng Dài,176
02/04/2025,75,Đồng Nai,25996,Phường Tân Phong,51
02/04/2025,75,Đồng Nai,25999,Phường Tân Biên,8
02/04/2025,75,Đồng Nai,26068,Phường Hóa An,2
02/04/2025,75,Đồng Nai,26095,Phường Suối Tre,42
02/04/2025,75,Đồng Nai,26116,Thị Trấn Tân Phú,406
02/04/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,27
02/04/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,84
02/04/2025,75,Đồng Nai,26272,Xã Hố Nai 3,426
02/04/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,512
02/04/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,4
02/04/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,37
02/04/2025,75,Đồng Nai,26377,Phường Phước Tân,3
02/04/2025,75,Đồng Nai,26452,Xã Suối Cát,664
02/05/2025,75,Đồng Nai,25996,Phường Tân Phong,446
02/05/2025,75,Đồng Nai,25999,Phường Tân Biên,11
02/05/2025,75,Đồng Nai,26017,Phường Tam Hiệp,198
02/05/2025,75,Đồng Nai,26029,Phường Thống Nhất,29
02/05/2025,75,Đồng Nai,26068,Phường Hóa An,268
02/05/2025,75,Đồng Nai,26095,Phường Suối Tre,153
02/05/2025,75,Đồng Nai,26116,Thị Trấn Tân Phú,22
02/05/2025,75,Đồng Nai,26188,Xã Thạnh Phú,58
02/05/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,66
02/05/2025,75,Đồng Nai,26272,Xã Hố Nai 3,236
02/05/2025,75,Đồng Nai,26275,Xã Tây Hoà,121
02/05/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,93
02/05/2025,75,Đồng Nai,26362,Xã Sông Ray,118
02/05/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,88
02/05/2025,75,Đồng Nai,26377,Phường Phước Tân,6
02/05/2025,75,Đồng Nai,26383,Xã An Phước,3
02/05/2025,75,Đồng Nai,26416,Xã Phước Bình,7
02/05/2025,75,Đồng Nai,26440,Xã Xuân Trường,91
02/05/2025,75,Đồng Nai,26452,Xã Suối Cát,19
02/05/2025,75,Đồng Nai,26455,Xã Xuân Hiệp,4
02/05/2025,75,Đồng Nai,26497,Xã Vĩnh Thanh,128
02/06/2025,75,Đồng Nai,25996,Phường Tân Phong,144
02/06/2025,75,Đồng Nai,25999,Phường Tân Biên,6
02/06/2025,75,Đồng Nai,26002,Phường Hố Nai,3
02/06/2025,75,Đồng Nai,26017,Phường Tam Hiệp,141
02/06/2025,75,Đồng Nai,26020,Phường Long Bình,56
02/06/2025,75,Đồng Nai,26029,Phường Thống Nhất,527
02/06/2025,75,Đồng Nai,26035,Phường Tam Hòa,1
02/06/2025,75,Đồng Nai,26050,Phường An Bình,118
02/06/2025,75,Đồng Nai,26056,Phường Long Bình Tân,7
02/06/2025,75,Đồng Nai,26068,Phường Hóa An,219
02/06/2025,75,Đồng Nai,26095,Phường Suối Tre,478
02/06/2025,75,Đồng Nai,26188,Xã Thạnh Phú,48
02/06/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,405
02/06/2025,75,Đồng Nai,26239,Xã Túc Trưng,134
02/06/2025,75,Đồng Nai,26272,Xã Hố Nai 3,758
02/06/2025,75,Đồng Nai,26296,Xã An Viễn,38
02/06/2025,75,Đồng Nai,26299,Xã Gia Tân 1,27
02/06/2025,75,Đồng Nai,26311,Xã Quang Trung,33
02/06/2025,75,Đồng Nai,26317,Xã Hưng Lộc,135
02/06/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,628
02/06/2025,75,Đồng Nai,26362,Xã Sông Ray,110
02/06/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,535
02/06/2025,75,Đồng Nai,26374,Phường Tam Phước,231
02/06/2025,75,Đồng Nai,26377,Phường Phước Tân,36
02/06/2025,75,Đồng Nai,26416,Xã Phước Bình,13
02/06/2025,75,Đồng Nai,26440,Xã Xuân Trường,71
02/06/2025,75,Đồng Nai,26452,Xã Suối Cát,710
02/06/2025,75,Đồng Nai,26455,Xã Xuân Hiệp,396
02/06/2025,75,Đồng Nai,26497,Xã Vĩnh Thanh,98
02/07/2024,75,Đồng Nai,26035,Phường Tam Hòa,16
02/07/2025,75,Đồng Nai,25993,Phường Trảng Dài,49
02/07/2025,75,Đồng Nai,25996,Phường Tân Phong,268
02/07/2025,75,Đồng Nai,26002,Phường Hố Nai,32
02/07/2025,75,Đồng Nai,26017,Phường Tam Hiệp,88
02/07/2025,75,Đồng Nai,26029,Phường Thống Nhất,15
02/07/2025,75,Đồng Nai,26050,Phường An Bình,45
02/07/2025,75,Đồng Nai,26056,Phường Long Bình Tân,89
02/07/2025,75,Đồng Nai,26068,Phường Hóa An,322
02/07/2025,75,Đồng Nai,26095,Phường Suối Tre,1161
02/07/2025,75,Đồng Nai,26116,Thị Trấn Tân Phú,387
02/07/2025,75,Đồng Nai,26188,Xã Thạnh Phú,3
02/07/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,796
02/07/2025,75,Đồng Nai,26272,Xã Hố Nai 3,1114
02/07/2025,75,Đồng Nai,26275,Xã Tây Hoà,112
